aca,Albany
bai,Binghamton
ban,Boston U.
hac,Hartford
maa,Maine
mam,UMBC
nal,New Hampshire
scy,Stony Brook
vad,Vermont
nad,Charlotte
dae,Dayton
dav,Duquesne
fao,Fordham
gac,Geo. Washington
lad,La Salle
mak,Massachusetts
rad,Rhode Island
raf,Richmond
sbr,Saint Louis
sbl,St. Bonaventure
sbq,St. Joseph's
tad,Temple
xaa,Xavier
bam,Boston Coll.
cbg,Clemson
dau,Duke
fan,Florida St.
gah,Georgia Tech
maj,Maryland
mav,Miami (FL)
nav,North Carolina
nat,N.C. State
vaf,Virginia
vah,Virginia Tech
wad,Wake Forest
bab,Belmont
cai,Campbell
eaa,E. Tennessee St.
flg,Fla Gulf Coast
jab,Jacksonville
kns,Kennesaw St.
lbu,Lipscomb
maq,Mercer
nfl,North Florida
sec,S.Car. Upstate
scd,Stetson
bae,Baylor
cbl,Colorado
iao,Iowa St.
kaa,Kansas
kab,Kansas St.
mbh,Missouri
nai,Nebraska
oae,Oklahoma
oag,Oklahoma St.
tal,Texas
tan,Texas A&M
tas,Texas Tech
cbc,Cincinnati
cbp,Connecticut
dal,DePaul
gae,Georgetown
laq,Louisville
maf,Marquette
nbf,Notre Dame
pal,Pittsburgh
pas,Providence
rak,Rutgers
sao,Seton Hall
sbg,South Florida
sbp,St. John's
sci,Syracuse
vae,Villanova
wal,West Virginia
eai,Eastern Wash.
iac,Idaho St.
mbm,Montana
mbn,Montana St.
nbc,Northern Arizona
nbh,Northern Colorado
pbe,Portland St.
saa,Sacramento St.
wai,Weber St.
cax,Charleston Sou.
cbi,Coastal Carolina
gal,Gardner-Webb
hbd,High Point
lai,Liberty
nab,N.C. Asheville
paq,Presbyterian
raa,Radford
vai,Virginia Military
way,Winthrop
iae,Illinois
iai,Indiana
ian,Iowa
max,Michigan
may,Michigan St.
mbd,Minnesota
nbd,Northwestern
oad,Ohio St.
paf,Penn St.
pau,Purdue
wbg,Wisconsin
cag,Cal Poly
fat,CSU Fullerton
nbb,CSU Northridge
cau,UC Riverside
lan,Long Beach St.
pab,Pacific
caa,UC Davis
cab,UC Irvine
sah,UCSB
dag,Delaware
dat,Drexel
gad,George Mason
gag,Georgia St.
hak,Hofstra
jac,James Madison
nag,N.C. Wilmington
nay,Northeastern
oah,Old Dominion
tav,Towson
vaa,VCU
wbh,William & Mary
eac,East Carolina
ham,Houston
mah,Marshall
map,Memphis
rae,Rice
sav,SMU
sbb,Southern Miss
taz,Tulane
tba,Tulsa
abh,UAB
cap,UCF
tap,UTEP
bav,Butler
cbh,Cleveland St.
dam,Detroit
wbb,Wis. Green Bay
las,Loyola Chicago
wbd,Wis. Milwaukee
iaf,Ill. Chicago
vab,Valparaiso
wbj,Wright St.
yab,Youngstown St.
ccm,CSU Bakersfield
cay,Chicago St.
hba,Houston Baptist
lay,Longwood
nao,New Orleans
ncf,N.J.I.T.
nac,N.C. Central
nci,North Dakota
saj,Savannah St.
san,Seattle
saw,SIU Edwardsville
say,South Dakota
tbc,TX Pan American
uvs,Utah Valley
bas,Brown
cbn,Columbia
cbr,Cornell
dac,Dartmouth
had,Harvard
pag,Pennsylvania
par,Princeton
yaa,Yale
caj,Canisius
fab,Fairfield
iam,Iona
lau,Loyola (MD)
mab,Manhattan
mae,Marist
naq,Niagara
rag,Rider
sas,Siena
sby,St. Peter's
aac,Akron
bap,Bowling Green
baz,Buffalo
kae,Kent St.
maw,Miami (OH)
oab,Ohio
baa,Ball St.
caq,Cent. Michigan
eaf,East. Michigan
naz,Northern Illinois
tau,Toledo
wap,W. Michigan
bag,Bethune-Cookman
cbq,Coppin St.
dah,Delaware St.
fal,Florida A&M
hay,Hampton
hao,Howard
man,MD Eastern Shore
mbq,Morgan St.
ncb,Norfolk St.
nas,N.C. A&T
sax,S. Carolina St.
baq,Bradley
cbt,Creighton
dar,Drake
ear,Evansville
iag,Illinois St.
ial,Indiana St.
scg,Missouri St.
nba,Northern Iowa
sbi,Southern Ill.
wax,Wichita St.
aab,Air Force
baw,BYU
cbm,Colorado St.
nam,New Mexico
sae,San Diego St.
tac,TCU
naj,UNLV
uae,Utah
wbk,Wyoming
bry,Bryant
cao,Central Conn. St.
faa,Fair. Dickinson
